Source_File,Report_Type,Extracted_Record_Count,Duplicate_Of,Use_for_Current_Master_Dataset
2021sf(2).pdf,Fatal Incident,15,,Yes
2022sf(2).pdf,Fatal Incident,29,,Yes
2023f (1)(2).pdf,Fatality & Permanent Impairment statistics,0,2023f(2).pdf,Reference / no structured records extracted
2023f(2).pdf,Fatality & Permanent Impairment statistics,0,,Reference / no structured records extracted
2023pfh(2).pdf,Process Safety Fatal/HPE/Tier 1 PSE,227,,Yes
2023sf(2).pdf,Fatal Incident,17,,Yes
2023sh(2).pdf,High Potential Event,131,,Yes
2024ae(2).pdf,Aviation Events,0,,Reference / no structured records extracted
2024f(2).pdf,Fatality & Permanent Impairment statistics,0,,Reference / no structured records extracted
2024fpi(2).pdf,Fatality & Permanent Impairment (FPI),34,,Yes
2024pfh (1)(2).pdf,Process Safety Fatal/HPE/Tier 1 PSE,207,2024pfh(2).pdf,Yes
2024pfh(2).pdf,Process Safety Fatal/HPE/Tier 1 PSE,0,,Reference / no structured records extracted
2024sh(2).pdf,High Potential Event,150,,Yes
2025a(2).pdf,Aviation,0,,Reference / no structured records extracted
2025ae(2).pdf,Aviation Events,0,,Reference / no structured records extracted
2025m(2).pdf,Motor Vehicle Crash,0,,Reference / no structured records extracted
2025mfh(2).pdf,Motor Vehicle / Land Transport Fatal & HPE,21,,Yes
2025sf(2).pdf,Fatal Incident,40,,Yes
2025sh(2).pdf,High Potential Event,98,,Yes
6f3243c1-0670-4a06-8361-0b5a20de7155.png,Screenshot / supporting reference,0,,Reference / no structured records extracted
PotentialFPIExamples(2).pdf,Potential FPI Examples,0,,Reference / no structured records extracted
